grna_id	grna_group	gRNA_type
WTC11_Random_Screen_Crop_63	chr1:198710922-198711223	enh
WTC11_Random_Screen_Crop_64	chr1:198710922-198711223	enh
WTC11_Random_Screen_Crop_65	chr1:198710922-198711223	enh
WTC11_Random_Screen_Crop_66	chr1:198710922-198711223	enh
WTC11_Random_Screen_Crop_67	chr1:198710922-198711223	enh
WTC11_Random_Screen_Crop_68	chr1:198710922-198711223	enh
WTC11_Random_Screen_Crop_69	chr1:198710922-198711223	enh
WTC11_Random_Screen_Crop_70	chr1:198757893-198758194	enh
WTC11_Random_Screen_Crop_71	chr1:198757893-198758194	enh
WTC11_Random_Screen_Crop_72	chr1:198757893-198758194	enh
WTC11_Random_Screen_Crop_73	chr1:198757893-198758194	enh
WTC11_Random_Screen_Crop_74	chr1:198757893-198758194	enh
WTC11_Random_Screen_Crop_75	chr1:198757893-198758194	enh
WTC11_Random_Screen_Crop_76	chr1:198757893-198758194	enh
WTC11_Random_Screen_Crop_77	chr1:198757893-198758194	enh
WTC11_Random_Screen_Crop_78	chr1:198757893-198758194	enh
WTC11_Random_Screen_Crop_79	chr1:198757893-198758194	enh
WTC11_Random_Screen_Crop_80	chr1:198757893-198758194	enh
WTC11_Random_Screen_Crop_81	chr1:198757893-198758194	enh
WTC11_Random_Screen_Crop_82	chr1:198757893-198758194	enh
WTC11_Random_Screen_Crop_83	chr1:198757893-198758194	enh
WTC11_Random_Screen_Crop_84	chr1:198757893-198758194	enh
WTC11_Random_Screen_Crop_85	chr1:198799187-198799488	enh
WTC11_Random_Screen_Crop_86	chr1:198799187-198799488	enh
WTC11_Random_Screen_Crop_87	chr1:198799187-198799488	enh
WTC11_Random_Screen_Crop_88	chr1:198799187-198799488	enh
WTC11_Random_Screen_Crop_89	chr1:198799187-198799488	enh
WTC11_Random_Screen_Crop_90	chr1:198799187-198799488	enh
WTC11_Random_Screen_Crop_91	chr1:198799187-198799488	enh
WTC11_Random_Screen_Crop_92	chr1:198799187-198799488	enh
WTC11_Random_Screen_Crop_93	chr1:198799187-198799488	enh
WTC11_Random_Screen_Crop_94	chr1:198799187-198799488	enh
WTC11_Random_Screen_Crop_95	chr1:198799187-198799488	enh
WTC11_Random_Screen_Crop_96	chr1:198799187-198799488	enh
WTC11_Random_Screen_Crop_97	chr1:198799187-198799488	enh
WTC11_Random_Screen_Crop_98	chr1:198799187-198799488	enh
WTC11_Random_Screen_Crop_99	chr1:198799485-198799786	enh
WTC11_Random_Screen_Crop_100	chr1:198799485-198799786	enh
WTC11_Random_Screen_Crop_101	chr1:198799485-198799786	enh
WTC11_Random_Screen_Crop_102	chr1:198799485-198799786	enh
WTC11_Random_Screen_Crop_103	chr1:198799485-198799786	enh
WTC11_Random_Screen_Crop_104	chr1:198799485-198799786	enh
WTC11_Random_Screen_Crop_105	chr1:198799485-198799786	enh
WTC11_Random_Screen_Crop_106	chr1:198799485-198799786	enh
WTC11_Random_Screen_Crop_107	chr1:198799485-198799786	enh
WTC11_Random_Screen_Crop_108	chr1:198799485-198799786	enh
WTC11_Random_Screen_Crop_109	chr1:198799485-198799786	enh
WTC11_Random_Screen_Crop_110	chr1:198799485-198799786	enh
WTC11_Random_Screen_Crop_111	chr1:198799485-198799786	enh
WTC11_Random_Screen_Crop_112	chr1:198799485-198799786	enh
WTC11_Random_Screen_Crop_113	chr1:198799485-198799786	enh
WTC11_Random_Screen_Crop_114	chr1:199187184-199187485	enh
WTC11_Random_Screen_Crop_115	chr1:199187184-199187485	enh
WTC11_Random_Screen_Crop_116	chr1:199187184-199187485	enh
WTC11_Random_Screen_Crop_117	chr1:199187184-199187485	enh
WTC11_Random_Screen_Crop_118	chr1:199187184-199187485	enh
WTC11_Random_Screen_Crop_119	chr1:199187184-199187485	enh
WTC11_Random_Screen_Crop_120	chr1:199187184-199187485	enh
WTC11_Random_Screen_Crop_121	chr1:199187184-199187485	enh
WTC11_Random_Screen_Crop_122	chr1:199187184-199187485	enh
WTC11_Random_Screen_Crop_123	chr1:199187184-199187485	enh
WTC11_Random_Screen_Crop_124	chr1:199187184-199187485	enh
WTC11_Random_Screen_Crop_125	chr1:199187184-199187485	enh
WTC11_Random_Screen_Crop_126	chr1:199187184-199187485	enh
WTC11_Random_Screen_Crop_127	chr1:199187184-199187485	enh
WTC11_Random_Screen_Crop_128	chr1:199187184-199187485	enh
WTC11_Random_Screen_Crop_129	chr1:199212619-199212920	enh
WTC11_Random_Screen_Crop_130	chr1:199212619-199212920	enh
WTC11_Random_Screen_Crop_131	chr1:199212619-199212920	enh
WTC11_Random_Screen_Crop_132	chr1:199212619-199212920	enh
WTC11_Random_Screen_Crop_133	chr1:199212619-199212920	enh
WTC11_Random_Screen_Crop_134	chr1:199212619-199212920	enh
WTC11_Random_Screen_Crop_135	chr1:199212619-199212920	enh
WTC11_Random_Screen_Crop_136	chr1:199212619-199212920	enh
WTC11_Random_Screen_Crop_137	chr1:199212619-199212920	enh
WTC11_Random_Screen_Crop_138	chr1:199212619-199212920	enh
WTC11_Random_Screen_Crop_139	chr1:199212619-199212920	enh
WTC11_Random_Screen_Crop_140	chr1:199212619-199212920	enh
WTC11_Random_Screen_Crop_141	chr1:199212619-199212920	enh
WTC11_Random_Screen_Crop_142	chr1:199212619-199212920	enh
WTC11_Random_Screen_Crop_143	chr1:199212619-199212920	enh
WTC11_Random_Screen_Crop_144	chr1:199241808-199242109	enh
WTC11_Random_Screen_Crop_145	chr1:199241808-199242109	enh
WTC11_Random_Screen_Crop_146	chr1:199241808-199242109	enh
WTC11_Random_Screen_Crop_147	chr1:199241808-199242109	enh
WTC11_Random_Screen_Crop_148	chr1:199241808-199242109	enh
WTC11_Random_Screen_Crop_149	chr1:199241808-199242109	enh
WTC11_Random_Screen_Crop_150	chr1:199241808-199242109	enh
WTC11_Random_Screen_Crop_151	chr1:199241808-199242109	enh
WTC11_Random_Screen_Crop_152	chr1:199241808-199242109	enh
WTC11_Random_Screen_Crop_153	chr1:199241808-199242109	enh
WTC11_Random_Screen_Crop_154	chr1:199241808-199242109	enh
WTC11_Random_Screen_Crop_155	chr1:199241808-199242109	enh
WTC11_Random_Screen_Crop_156	chr1:199241808-199242109	enh
WTC11_Random_Screen_Crop_157	chr1:199241808-199242109	enh
WTC11_Random_Screen_Crop_158	chr1:199241808-199242109	enh
WTC11_Random_Screen_Crop_159	chr1:199306507-199306808	enh
WTC11_Random_Screen_Crop_160	chr1:199306507-199306808	enh
WTC11_Random_Screen_Crop_161	chr1:199306507-199306808	enh
WTC11_Random_Screen_Crop_162	chr1:199306507-199306808	enh
WTC11_Random_Screen_Crop_163	chr1:199306507-199306808	enh
WTC11_Random_Screen_Crop_164	chr1:199306507-199306808	enh
WTC11_Random_Screen_Crop_165	chr1:199306507-199306808	enh
WTC11_Random_Screen_Crop_166	chr1:199306507-199306808	enh
WTC11_Random_Screen_Crop_167	chr1:199306507-199306808	enh
WTC11_Random_Screen_Crop_168	chr1:199306507-199306808	enh
WTC11_Random_Screen_Crop_169	chr1:199306507-199306808	enh
WTC11_Random_Screen_Crop_170	chr1:199306507-199306808	enh
WTC11_Random_Screen_Crop_171	chr1:199306507-199306808	enh
WTC11_Random_Screen_Crop_172	chr1:199306507-199306808	enh
WTC11_Random_Screen_Crop_173	chr1:199306507-199306808	enh
WTC11_Random_Screen_Crop_174	chr1:199391396-199391697	enh
WTC11_Random_Screen_Crop_175	chr1:199391396-199391697	enh
WTC11_Random_Screen_Crop_176	chr1:199391396-199391697	enh
WTC11_Random_Screen_Crop_177	chr1:199391396-199391697	enh
WTC11_Random_Screen_Crop_178	chr1:199391396-199391697	enh
WTC11_Random_Screen_Crop_179	chr1:199391396-199391697	enh
WTC11_Random_Screen_Crop_180	chr1:199391396-199391697	enh
WTC11_Random_Screen_Crop_181	chr1:199391396-199391697	enh
WTC11_Random_Screen_Crop_182	chr1:199391396-199391697	enh
WTC11_Random_Screen_Crop_183	chr1:199391396-199391697	enh
WTC11_Random_Screen_Crop_184	chr1:199391396-199391697	enh
WTC11_Random_Screen_Crop_185	chr1:199391396-199391697	enh
WTC11_Random_Screen_Crop_186	chr1:199391396-199391697	enh
WTC11_Random_Screen_Crop_187	chr1:199391396-199391697	enh
WTC11_Random_Screen_Crop_188	chr1:199391396-199391697	enh
WTC11_Random_Screen_Crop_189	chr1:199432683-199432984	enh
WTC11_Random_Screen_Crop_190	chr1:199432683-199432984	enh
WTC11_Random_Screen_Crop_191	chr1:199432683-199432984	enh
WTC11_Random_Screen_Crop_192	chr1:199432683-199432984	enh
WTC11_Random_Screen_Crop_193	chr1:199432683-199432984	enh
WTC11_Random_Screen_Crop_194	chr1:199432683-199432984	enh
WTC11_Random_Screen_Crop_195	chr1:199432683-199432984	enh
WTC11_Random_Screen_Crop_196	chr1:199432683-199432984	enh
WTC11_Random_Screen_Crop_197	chr1:199432683-199432984	enh
WTC11_Random_Screen_Crop_198	chr1:199432683-199432984	enh
WTC11_Random_Screen_Crop_199	chr1:199432683-199432984	enh
WTC11_Random_Screen_Crop_200	chr1:199432683-199432984	enh
WTC11_Random_Screen_Crop_201	chr1:199432683-199432984	enh
WTC11_Random_Screen_Crop_202	chr1:199432683-199432984	enh
WTC11_Random_Screen_Crop_203	chr1:199432683-199432984	enh
WTC11_Random_Screen_Crop_204	chr1:199481199-199481500	enh
WTC11_Random_Screen_Crop_205	chr1:199481199-199481500	enh
WTC11_Random_Screen_Crop_206	chr1:199481199-199481500	enh
WTC11_Random_Screen_Crop_207	chr1:199481199-199481500	enh
WTC11_Random_Screen_Crop_208	chr1:199481199-199481500	enh
WTC11_Random_Screen_Crop_209	chr1:199481199-199481500	enh
WTC11_Random_Screen_Crop_210	chr1:199481199-199481500	enh
WTC11_Random_Screen_Crop_211	chr1:199481199-199481500	enh
WTC11_Random_Screen_Crop_212	chr1:199481199-199481500	enh
WTC11_Random_Screen_Crop_213	chr1:199481199-199481500	enh
WTC11_Random_Screen_Crop_214	chr1:199481199-199481500	enh
WTC11_Random_Screen_Crop_215	chr1:199514919-199515220	enh
WTC11_Random_Screen_Crop_216	chr1:199514919-199515220	enh
WTC11_Random_Screen_Crop_217	chr1:199514919-199515220	enh
WTC11_Random_Screen_Crop_218	chr1:199514919-199515220	enh
WTC11_Random_Screen_Crop_219	chr1:199514919-199515220	enh
WTC11_Random_Screen_Crop_220	chr1:199514919-199515220	enh
WTC11_Random_Screen_Crop_221	chr1:199514919-199515220	enh
WTC11_Random_Screen_Crop_222	chr1:199514919-199515220	enh
WTC11_Random_Screen_Crop_223	chr1:199514919-199515220	enh
WTC11_Random_Screen_Crop_224	chr1:199514919-199515220	enh
WTC11_Random_Screen_Crop_225	chr1:199514919-199515220	enh
WTC11_Random_Screen_Crop_226	chr1:199514919-199515220	enh
WTC11_Random_Screen_Crop_227	chr1:199514919-199515220	enh
WTC11_Random_Screen_Crop_228	chr1:199514919-199515220	enh
WTC11_Random_Screen_Crop_229	chr1:199514919-199515220	enh
WTC11_Random_Screen_Crop_230	chr1:199704793-199705094	enh
WTC11_Random_Screen_Crop_231	chr1:199704793-199705094	enh
WTC11_Random_Screen_Crop_232	chr1:199704793-199705094	enh
WTC11_Random_Screen_Crop_233	chr1:199704793-199705094	enh
WTC11_Random_Screen_Crop_234	chr1:199704793-199705094	enh
WTC11_Random_Screen_Crop_235	chr1:199704793-199705094	enh
WTC11_Random_Screen_Crop_236	chr1:199704793-199705094	enh
WTC11_Random_Screen_Crop_237	chr1:199704793-199705094	enh
WTC11_Random_Screen_Crop_238	chr1:199704793-199705094	enh
WTC11_Random_Screen_Crop_239	chr1:199704793-199705094	enh
WTC11_Random_Screen_Crop_240	chr1:199704793-199705094	enh
WTC11_Random_Screen_Crop_241	chr1:199704793-199705094	enh
WTC11_Random_Screen_Crop_242	chr1:199704793-199705094	enh
WTC11_Random_Screen_Crop_243	chr1:199704793-199705094	enh
WTC11_Random_Screen_Crop_244	chr1:199704793-199705094	enh
WTC11_Random_Screen_Crop_245	chr1:199717119-199717420	enh
WTC11_Random_Screen_Crop_246	chr1:199717119-199717420	enh
WTC11_Random_Screen_Crop_247	chr1:199717119-199717420	enh
WTC11_Random_Screen_Crop_248	chr1:199717119-199717420	enh
WTC11_Random_Screen_Crop_249	chr1:199717119-199717420	enh
WTC11_Random_Screen_Crop_250	chr1:199717119-199717420	enh
WTC11_Random_Screen_Crop_251	chr1:199717119-199717420	enh
WTC11_Random_Screen_Crop_252	chr1:199717119-199717420	enh
WTC11_Random_Screen_Crop_253	chr1:199717119-199717420	enh
WTC11_Random_Screen_Crop_254	chr1:199717119-199717420	enh
WTC11_Random_Screen_Crop_255	chr1:199717119-199717420	enh
WTC11_Random_Screen_Crop_256	chr1:199717119-199717420	enh
WTC11_Random_Screen_Crop_257	chr1:199717119-199717420	enh
WTC11_Random_Screen_Crop_258	chr1:199717119-199717420	enh
WTC11_Random_Screen_Crop_259	chr1:199717119-199717420	enh
WTC11_Random_Screen_Crop_260	chr1:199768277-199768578	enh
WTC11_Random_Screen_Crop_261	chr1:199768277-199768578	enh
WTC11_Random_Screen_Crop_262	chr1:199768277-199768578	enh
WTC11_Random_Screen_Crop_263	chr1:199768277-199768578	enh
WTC11_Random_Screen_Crop_264	chr1:199768277-199768578	enh
WTC11_Random_Screen_Crop_265	chr1:199768277-199768578	enh
WTC11_Random_Screen_Crop_266	chr1:199768277-199768578	enh
WTC11_Random_Screen_Crop_267	chr1:199835424-199835725	enh
WTC11_Random_Screen_Crop_268	chr1:199835424-199835725	enh
WTC11_Random_Screen_Crop_269	chr1:199835424-199835725	enh
WTC11_Random_Screen_Crop_270	chr1:199835424-199835725	enh
WTC11_Random_Screen_Crop_271	chr1:199835424-199835725	enh
WTC11_Random_Screen_Crop_272	chr1:199835424-199835725	enh
WTC11_Random_Screen_Crop_273	chr1:199835424-199835725	enh
WTC11_Random_Screen_Crop_274	chr1:199835424-199835725	enh
WTC11_Random_Screen_Crop_275	chr1:199835424-199835725	enh
WTC11_Random_Screen_Crop_276	chr1:199835424-199835725	enh
WTC11_Random_Screen_Crop_277	chr1:199835424-199835725	enh
WTC11_Random_Screen_Crop_278	chr1:199835424-199835725	enh
WTC11_Random_Screen_Crop_279	chr1:199835424-199835725	enh
WTC11_Random_Screen_Crop_280	chr1:199835424-199835725	enh
WTC11_Random_Screen_Crop_281	chr1:199835424-199835725	enh
WTC11_Random_Screen_Crop_282	chr1:199923869-199924170	enh
WTC11_Random_Screen_Crop_283	chr1:199923869-199924170	enh
WTC11_Random_Screen_Crop_284	chr1:199923869-199924170	enh
WTC11_Random_Screen_Crop_285	chr1:199923869-199924170	enh
WTC11_Random_Screen_Crop_286	chr1:199923869-199924170	enh
WTC11_Random_Screen_Crop_287	chr1:199923869-199924170	enh
WTC11_Random_Screen_Crop_288	chr1:199923869-199924170	enh
WTC11_Random_Screen_Crop_289	chr1:199923869-199924170	enh
WTC11_Random_Screen_Crop_290	chr1:199923869-199924170	enh
WTC11_Random_Screen_Crop_291	chr1:199923869-199924170	enh
WTC11_Random_Screen_Crop_292	chr1:199923869-199924170	enh
WTC11_Random_Screen_Crop_293	chr1:199923869-199924170	enh
WTC11_Random_Screen_Crop_294	chr1:199923869-199924170	enh
WTC11_Random_Screen_Crop_295	chr1:199923869-199924170	enh
WTC11_Random_Screen_Crop_296	chr1:199923869-199924170	enh
WTC11_Random_Screen_Crop_297	chr1:199945985-199946286	enh
WTC11_Random_Screen_Crop_298	chr1:199945985-199946286	enh
WTC11_Random_Screen_Crop_299	chr1:199945985-199946286	enh
WTC11_Random_Screen_Crop_300	chr1:199945985-199946286	enh
WTC11_Random_Screen_Crop_301	chr1:199945985-199946286	enh
WTC11_Random_Screen_Crop_302	chr1:199945985-199946286	enh
WTC11_Random_Screen_Crop_303	chr1:199945985-199946286	enh
WTC11_Random_Screen_Crop_304	chr1:199945985-199946286	enh
WTC11_Random_Screen_Crop_305	chr1:199945985-199946286	enh
WTC11_Random_Screen_Crop_306	chr1:199945985-199946286	enh
WTC11_Random_Screen_Crop_307	chr1:199945985-199946286	enh
WTC11_Random_Screen_Crop_308	chr1:199945985-199946286	enh
WTC11_Random_Screen_Crop_309	chr1:199945985-199946286	enh
WTC11_Random_Screen_Crop_310	chr1:199945985-199946286	enh
WTC11_Random_Screen_Crop_311	chr1:199945985-199946286	enh
WTC11_Random_Screen_Crop_312	chr1:199998189-199998490	enh
WTC11_Random_Screen_Crop_313	chr1:199998189-199998490	enh
WTC11_Random_Screen_Crop_314	chr1:199998189-199998490	enh
WTC11_Random_Screen_Crop_315	chr1:199998189-199998490	enh
WTC11_Random_Screen_Crop_316	chr1:199998189-199998490	enh
WTC11_Random_Screen_Crop_317	chr1:199998189-199998490	enh
WTC11_Random_Screen_Crop_318	chr1:199998189-199998490	enh
WTC11_Random_Screen_Crop_319	chr1:199998189-199998490	enh
WTC11_Random_Screen_Crop_320	chr1:199998189-199998490	enh
WTC11_Random_Screen_Crop_321	chr1:199998189-199998490	enh
WTC11_Random_Screen_Crop_322	chr1:199998189-199998490	enh
WTC11_Random_Screen_Crop_323	chr1:199998189-199998490	enh
WTC11_Random_Screen_Crop_324	chr1:199998189-199998490	enh
WTC11_Random_Screen_Crop_325	chr1:199998189-199998490	enh
WTC11_Random_Screen_Crop_326	chr1:199998189-199998490	enh
WTC11_Random_Screen_Crop_327	chr1:199998654-199998955	enh
WTC11_Random_Screen_Crop_328	chr1:199998654-199998955	enh
WTC11_Random_Screen_Crop_329	chr1:199998654-199998955	enh
WTC11_Random_Screen_Crop_330	chr1:199998654-199998955	enh
WTC11_Random_Screen_Crop_331	chr1:199998654-199998955	enh
WTC11_Random_Screen_Crop_332	chr1:199998654-199998955	enh
WTC11_Random_Screen_Crop_333	chr1:199998654-199998955	enh
WTC11_Random_Screen_Crop_334	chr1:199998654-199998955	enh
WTC11_Random_Screen_Crop_335	chr1:199998654-199998955	enh
WTC11_Random_Screen_Crop_336	chr1:199998654-199998955	enh
WTC11_Random_Screen_Crop_337	chr1:199998654-199998955	enh
WTC11_Random_Screen_Crop_338	chr1:199998654-199998955	enh
WTC11_Random_Screen_Crop_339	chr1:199998654-199998955	enh
WTC11_Random_Screen_Crop_340	chr1:199998654-199998955	enh
WTC11_Random_Screen_Crop_341	chr1:199998654-199998955	enh
WTC11_Random_Screen_Crop_342	chr1:200003935-200004236	enh
WTC11_Random_Screen_Crop_343	chr1:200003935-200004236	enh
WTC11_Random_Screen_Crop_344	chr1:200003935-200004236	enh
WTC11_Random_Screen_Crop_345	chr1:200003935-200004236	enh
WTC11_Random_Screen_Crop_346	chr1:200003935-200004236	enh
WTC11_Random_Screen_Crop_347	chr1:200003935-200004236	enh
WTC11_Random_Screen_Crop_348	chr1:200003935-200004236	enh
WTC11_Random_Screen_Crop_349	chr1:200003935-200004236	enh
WTC11_Random_Screen_Crop_350	chr1:200003935-200004236	enh
WTC11_Random_Screen_Crop_351	chr1:200003935-200004236	enh
WTC11_Random_Screen_Crop_352	chr1:200003935-200004236	enh
WTC11_Random_Screen_Crop_353	chr1:200003935-200004236	enh
WTC11_Random_Screen_Crop_354	chr1:200003935-200004236	enh
WTC11_Random_Screen_Crop_355	chr1:200003935-200004236	enh
WTC11_Random_Screen_Crop_356	chr1:200003935-200004236	enh
WTC11_Random_Screen_Crop_357	chr1:200007796-200008097	enh
WTC11_Random_Screen_Crop_358	chr1:200007796-200008097	enh
WTC11_Random_Screen_Crop_359	chr1:200007796-200008097	enh
WTC11_Random_Screen_Crop_360	chr1:200007796-200008097	enh
WTC11_Random_Screen_Crop_361	chr1:200007796-200008097	enh
WTC11_Random_Screen_Crop_362	chr1:200007796-200008097	enh
WTC11_Random_Screen_Crop_363	chr1:200007796-200008097	enh
WTC11_Random_Screen_Crop_364	chr1:200007796-200008097	enh
WTC11_Random_Screen_Crop_365	chr1:200007796-200008097	enh
WTC11_Random_Screen_Crop_366	chr1:200007796-200008097	enh
WTC11_Random_Screen_Crop_367	chr1:200007796-200008097	enh
WTC11_Random_Screen_Crop_368	chr1:200007796-200008097	enh
WTC11_Random_Screen_Crop_369	chr1:200007796-200008097	enh
WTC11_Random_Screen_Crop_370	chr1:200007796-200008097	enh
WTC11_Random_Screen_Crop_371	chr1:200007796-200008097	enh
WTC11_Random_Screen_Crop_372	chr1:200008222-200008523	enh
WTC11_Random_Screen_Crop_373	chr1:200008222-200008523	enh
WTC11_Random_Screen_Crop_374	chr1:200008222-200008523	enh
WTC11_Random_Screen_Crop_375	chr1:200008222-200008523	enh
WTC11_Random_Screen_Crop_376	chr1:200008222-200008523	enh
WTC11_Random_Screen_Crop_377	chr1:200008222-200008523	enh
WTC11_Random_Screen_Crop_378	chr1:200008222-200008523	enh
WTC11_Random_Screen_Crop_379	chr1:200008222-200008523	enh
WTC11_Random_Screen_Crop_380	chr1:200008222-200008523	enh
WTC11_Random_Screen_Crop_381	chr1:200008222-200008523	enh
WTC11_Random_Screen_Crop_382	chr1:200008222-200008523	enh
WTC11_Random_Screen_Crop_383	chr1:200008222-200008523	enh
WTC11_Random_Screen_Crop_384	chr1:200008222-200008523	enh
WTC11_Random_Screen_Crop_385	chr1:200008222-200008523	enh
WTC11_Random_Screen_Crop_386	chr1:200008222-200008523	enh
WTC11_Random_Screen_Crop_387	chr1:200008561-200008862	enh
WTC11_Random_Screen_Crop_388	chr1:200008561-200008862	enh
WTC11_Random_Screen_Crop_389	chr1:200008561-200008862	enh
WTC11_Random_Screen_Crop_390	chr1:200008561-200008862	enh
WTC11_Random_Screen_Crop_391	chr1:200008561-200008862	enh
WTC11_Random_Screen_Crop_392	chr1:200008561-200008862	enh
WTC11_Random_Screen_Crop_393	chr1:200008561-200008862	enh
WTC11_Random_Screen_Crop_394	chr1:200008561-200008862	enh
WTC11_Random_Screen_Crop_395	chr1:200008561-200008862	enh
WTC11_Random_Screen_Crop_396	chr1:200008561-200008862	enh
WTC11_Random_Screen_Crop_397	chr1:200008561-200008862	enh
WTC11_Random_Screen_Crop_398	chr1:200008561-200008862	enh
WTC11_Random_Screen_Crop_399	chr1:200008561-200008862	enh
WTC11_Random_Screen_Crop_400	chr1:200008561-200008862	enh
WTC11_Random_Screen_Crop_401	chr1:200008561-200008862	enh
WTC11_Random_Screen_Crop_402	chr1:200009826-200010127	enh
WTC11_Random_Screen_Crop_403	chr1:200009826-200010127	enh
WTC11_Random_Screen_Crop_404	chr1:200009826-200010127	enh
WTC11_Random_Screen_Crop_405	chr1:200009826-200010127	enh
WTC11_Random_Screen_Crop_406	chr1:200009826-200010127	enh
WTC11_Random_Screen_Crop_407	chr1:200009826-200010127	enh
WTC11_Random_Screen_Crop_408	chr1:200009826-200010127	enh
WTC11_Random_Screen_Crop_409	chr1:200009826-200010127	enh
WTC11_Random_Screen_Crop_410	chr1:200009826-200010127	enh
WTC11_Random_Screen_Crop_411	chr1:200009826-200010127	enh
WTC11_Random_Screen_Crop_412	chr1:200009826-200010127	enh
WTC11_Random_Screen_Crop_413	chr1:200009826-200010127	enh
WTC11_Random_Screen_Crop_414	chr1:200009826-200010127	enh
WTC11_Random_Screen_Crop_415	chr1:200009826-200010127	enh
WTC11_Random_Screen_Crop_416	chr1:200009826-200010127	enh
WTC11_Random_Screen_Crop_417	chr1:200010430-200010731	enh
WTC11_Random_Screen_Crop_418	chr1:200010430-200010731	enh
WTC11_Random_Screen_Crop_419	chr1:200010430-200010731	enh
WTC11_Random_Screen_Crop_420	chr1:200010430-200010731	enh
WTC11_Random_Screen_Crop_421	chr1:200010430-200010731	enh
WTC11_Random_Screen_Crop_422	chr1:200010430-200010731	enh
WTC11_Random_Screen_Crop_423	chr1:200010430-200010731	enh
