response_id	grna_group	target_type
ARID1A	SH3BGRL3_TSS	TSS
CEP85	SH3BGRL3_TSS	TSS
HMGN2	SH3BGRL3_TSS	TSS
SH3BGRL3	chr1:26686786-26687087	enh
SMPDL3B	chr1:26686786-26687087	enh
TRNP1	chr1:26686786-26687087	enh
ZNF593	chr1:26686786-26687087	enh
LIN28A	chr1:26686786-26687087	enh
RPA2	chr1:26686786-26687087	enh
ARID1A	chr1:26686786-26687087	enh
CEP85	chr1:26686786-26687087	enh
FAM46B	chr1:26686786-26687087	enh
HMGN2	chr1:26686786-26687087	enh
SH3BGRL3	chr1:26712559-26712860	enh
SMPDL3B	chr1:26712559-26712860	enh
TRNP1	chr1:26712559-26712860	enh
ZNF593	chr1:26712559-26712860	enh
LIN28A	chr1:26712559-26712860	enh
RPA2	chr1:26712559-26712860	enh
ARID1A	chr1:26712559-26712860	enh
CEP85	chr1:26712559-26712860	enh
FAM46B	chr1:26712559-26712860	enh
HMGN2	chr1:26712559-26712860	enh
SH3BGRL3	chr1:26722794-26723095	enh
SMPDL3B	chr1:26722794-26723095	enh
TRNP1	chr1:26722794-26723095	enh
ZNF593	chr1:26722794-26723095	enh
LIN28A	chr1:26722794-26723095	enh
RPA2	chr1:26722794-26723095	enh
ARID1A	chr1:26722794-26723095	enh
CEP85	chr1:26722794-26723095	enh
FAM46B	chr1:26722794-26723095	enh
HMGN2	chr1:26722794-26723095	enh
SH3BGRL3	LIN28A_TSS	TSS
SMPDL3B	LIN28A_TSS	TSS
TRNP1	LIN28A_TSS	TSS
ZNF593	LIN28A_TSS	TSS
LIN28A	LIN28A_TSS	TSS
RPA2	LIN28A_TSS	TSS
ARID1A	LIN28A_TSS	TSS
CEP85	LIN28A_TSS	TSS
HMGN2	LIN28A_TSS	TSS
SH3BGRL3	HMGN2_TSS	TSS
SMPDL3B	HMGN2_TSS	TSS
TRNP1	HMGN2_TSS	TSS
ZNF593	HMGN2_TSS	TSS
LIN28A	HMGN2_TSS	TSS
RPA2	HMGN2_TSS	TSS
ARID1A	HMGN2_TSS	TSS
CEP85	HMGN2_TSS	TSS
HMGN2	HMGN2_TSS	TSS
SH3BGRL3	chr1:26857681-26857982	enh
SMPDL3B	chr1:26857681-26857982	enh
TRNP1	chr1:26857681-26857982	enh
ZNF593	chr1:26857681-26857982	enh
LIN28A	chr1:26857681-26857982	enh
RPA2	chr1:26857681-26857982	enh
ARID1A	chr1:26857681-26857982	enh
CEP85	chr1:26857681-26857982	enh
FAM46B	chr1:26857681-26857982	enh
HMGN2	chr1:26857681-26857982	enh
SH3BGRL3	chr1:26858227-26858528	enh
SMPDL3B	chr1:26858227-26858528	enh
TRNP1	chr1:26858227-26858528	enh
ZNF593	chr1:26858227-26858528	enh
LIN28A	chr1:26858227-26858528	enh
RPA2	chr1:26858227-26858528	enh
ARID1A	chr1:26858227-26858528	enh
CEP85	chr1:26858227-26858528	enh
FAM46B	chr1:26858227-26858528	enh
HMGN2	chr1:26858227-26858528	enh
SH3BGRL3	chr1:26865211-26865512	enh
SMPDL3B	chr1:26865211-26865512	enh
TRNP1	chr1:26865211-26865512	enh
ZNF593	chr1:26865211-26865512	enh
LIN28A	chr1:26865211-26865512	enh
RPA2	chr1:26865211-26865512	enh
ARID1A	chr1:26865211-26865512	enh
CEP85	chr1:26865211-26865512	enh
FAM46B	chr1:26865211-26865512	enh
HMGN2	chr1:26865211-26865512	enh
SH3BGRL3	chr1:27004055-27004356	enh
SMPDL3B	chr1:27004055-27004356	enh
TRNP1	chr1:27004055-27004356	enh
ZNF593	chr1:27004055-27004356	enh
LIN28A	chr1:27004055-27004356	enh
RPA2	chr1:27004055-27004356	enh
ARID1A	chr1:27004055-27004356	enh
CEP85	chr1:27004055-27004356	enh
FAM46B	chr1:27004055-27004356	enh
HMGN2	chr1:27004055-27004356	enh
SH3BGRL3	chr1:27018764-27019065	enh
SMPDL3B	chr1:27018764-27019065	enh
TRNP1	chr1:27018764-27019065	enh
ZNF593	chr1:27018764-27019065	enh
LIN28A	chr1:27018764-27019065	enh
RPA2	chr1:27018764-27019065	enh
ARID1A	chr1:27018764-27019065	enh
CEP85	chr1:27018764-27019065	enh
FAM46B	chr1:27018764-27019065	enh
HMGN2	chr1:27018764-27019065	enh
SH3BGRL3	chr1:27019457-27019758	enh
SMPDL3B	chr1:27019457-27019758	enh
TRNP1	chr1:27019457-27019758	enh
ZNF593	chr1:27019457-27019758	enh
LIN28A	chr1:27019457-27019758	enh
RPA2	chr1:27019457-27019758	enh
ARID1A	chr1:27019457-27019758	enh
CEP85	chr1:27019457-27019758	enh
FAM46B	chr1:27019457-27019758	enh
HMGN2	chr1:27019457-27019758	enh
PEX10	chr1:2713455-2713756	enh
RER1	chr1:2713455-2713756	enh
PEX10	chr1:2716923-2717224	enh
RER1	chr1:2716923-2717224	enh
SH3BGRL3	chr1:27179613-27179914	enh
SMPDL3B	chr1:27179613-27179914	enh
TRNP1	chr1:27179613-27179914	enh
ZNF593	chr1:27179613-27179914	enh
LIN28A	chr1:27179613-27179914	enh
RPA2	chr1:27179613-27179914	enh
ARID1A	chr1:27179613-27179914	enh
CEP85	chr1:27179613-27179914	enh
FAM46B	chr1:27179613-27179914	enh
HMGN2	chr1:27179613-27179914	enh
PEX10	chr1:2718214-2718515	enh
RER1	chr1:2718214-2718515	enh
PEX10	chr1:2719640-2719941	enh
RER1	chr1:2719640-2719941	enh
PEX10	chr1:2720230-2720531	enh
RER1	chr1:2720230-2720531	enh
SH3BGRL3	chr1:27204494-27204795	enh
SMPDL3B	chr1:27204494-27204795	enh
TRNP1	chr1:27204494-27204795	enh
ZNF593	chr1:27204494-27204795	enh
LIN28A	chr1:27204494-27204795	enh
RPA2	chr1:27204494-27204795	enh
ARID1A	chr1:27204494-27204795	enh
CEP85	chr1:27204494-27204795	enh
FAM46B	chr1:27204494-27204795	enh
HMGN2	chr1:27204494-27204795	enh
SH3BGRL3	chr1:27331229-27331530	enh
SMPDL3B	chr1:27331229-27331530	enh
TRNP1	chr1:27331229-27331530	enh
ZNF593	chr1:27331229-27331530	enh
LIN28A	chr1:27331229-27331530	enh
RPA2	chr1:27331229-27331530	enh
ARID1A	chr1:27331229-27331530	enh
CEP85	chr1:27331229-27331530	enh
FAM46B	chr1:27331229-27331530	enh
HMGN2	chr1:27331229-27331530	enh
SH3BGRL3	chr1:27353573-27353874	enh
SMPDL3B	chr1:27353573-27353874	enh
TRNP1	chr1:27353573-27353874	enh
ZNF593	chr1:27353573-27353874	enh
LIN28A	chr1:27353573-27353874	enh
RPA2	chr1:27353573-27353874	enh
ARID1A	chr1:27353573-27353874	enh
CEP85	chr1:27353573-27353874	enh
FAM46B	chr1:27353573-27353874	enh
HMGN2	chr1:27353573-27353874	enh
SH3BGRL3	chr1:27358070-27358371	enh
SMPDL3B	chr1:27358070-27358371	enh
TRNP1	chr1:27358070-27358371	enh
ZNF593	chr1:27358070-27358371	enh
LIN28A	chr1:27358070-27358371	enh
RPA2	chr1:27358070-27358371	enh
ARID1A	chr1:27358070-27358371	enh
CEP85	chr1:27358070-27358371	enh
FAM46B	chr1:27358070-27358371	enh
HMGN2	chr1:27358070-27358371	enh
SH3BGRL3	chr1:27435651-27435952	enh
SMPDL3B	chr1:27435651-27435952	enh
TRNP1	chr1:27435651-27435952	enh
ZNF593	chr1:27435651-27435952	enh
LIN28A	chr1:27435651-27435952	enh
RPA2	chr1:27435651-27435952	enh
ARID1A	chr1:27435651-27435952	enh
CEP85	chr1:27435651-27435952	enh
FAM46B	chr1:27435651-27435952	enh
HMGN2	chr1:27435651-27435952	enh
SH3BGRL3	chr1:27626021-27626322	enh
SMPDL3B	chr1:27626021-27626322	enh
TRNP1	chr1:27626021-27626322	enh
ZNF593	chr1:27626021-27626322	enh
LIN28A	chr1:27626021-27626322	enh
RPA2	chr1:27626021-27626322	enh
ARID1A	chr1:27626021-27626322	enh
CEP85	chr1:27626021-27626322	enh
FAM46B	chr1:27626021-27626322	enh
HMGN2	chr1:27626021-27626322	enh
SH3BGRL3	chr1:27627312-27627613	enh
SMPDL3B	chr1:27627312-27627613	enh
TRNP1	chr1:27627312-27627613	enh
ZNF593	chr1:27627312-27627613	enh
LIN28A	chr1:27627312-27627613	enh
RPA2	chr1:27627312-27627613	enh
ARID1A	chr1:27627312-27627613	enh
CEP85	chr1:27627312-27627613	enh
FAM46B	chr1:27627312-27627613	enh
HMGN2	chr1:27627312-27627613	enh
SH3BGRL3	chr1:27675774-27676075	enh
SMPDL3B	chr1:27675774-27676075	enh
TRNP1	chr1:27675774-27676075	enh
ZNF593	chr1:27675774-27676075	enh
LIN28A	chr1:27675774-27676075	enh
RPA2	chr1:27675774-27676075	enh
ARID1A	chr1:27675774-27676075	enh
CEP85	chr1:27675774-27676075	enh
FAM46B	chr1:27675774-27676075	enh
HMGN2	chr1:27675774-27676075	enh
SH3BGRL3	chr1:27676654-27676955	enh
SMPDL3B	chr1:27676654-27676955	enh
TRNP1	chr1:27676654-27676955	enh
ZNF593	chr1:27676654-27676955	enh
LIN28A	chr1:27676654-27676955	enh
RPA2	chr1:27676654-27676955	enh
ARID1A	chr1:27676654-27676955	enh
CEP85	chr1:27676654-27676955	enh
FAM46B	chr1:27676654-27676955	enh
HMGN2	chr1:27676654-27676955	enh
SH3BGRL3	chr1:27676866-27677167	enh
SMPDL3B	chr1:27676866-27677167	enh
TRNP1	chr1:27676866-27677167	enh
ZNF593	chr1:27676866-27677167	enh
LIN28A	chr1:27676866-27677167	enh
RPA2	chr1:27676866-27677167	enh
ARID1A	chr1:27676866-27677167	enh
CEP85	chr1:27676866-27677167	enh
FAM46B	chr1:27676866-27677167	enh
HMGN2	chr1:27676866-27677167	enh
SH3BGRL3	chr1:27677666-27677967	enh
SMPDL3B	chr1:27677666-27677967	enh
TRNP1	chr1:27677666-27677967	enh
ZNF593	chr1:27677666-27677967	enh
LIN28A	chr1:27677666-27677967	enh
RPA2	chr1:27677666-27677967	enh
ARID1A	chr1:27677666-27677967	enh
CEP85	chr1:27677666-27677967	enh
FAM46B	chr1:27677666-27677967	enh
HMGN2	chr1:27677666-27677967	enh
SH3BGRL3	chr1:27691969-27692270	enh
SMPDL3B	chr1:27691969-27692270	enh
TRNP1	chr1:27691969-27692270	enh
ZNF593	chr1:27691969-27692270	enh
LIN28A	chr1:27691969-27692270	enh
RPA2	chr1:27691969-27692270	enh
ARID1A	chr1:27691969-27692270	enh
CEP85	chr1:27691969-27692270	enh
FAM46B	chr1:27691969-27692270	enh
HMGN2	chr1:27691969-27692270	enh
SH3BGRL3	chr1:27692571-27692872	enh
SMPDL3B	chr1:27692571-27692872	enh
TRNP1	chr1:27692571-27692872	enh
ZNF593	chr1:27692571-27692872	enh
LIN28A	chr1:27692571-27692872	enh
RPA2	chr1:27692571-27692872	enh
ARID1A	chr1:27692571-27692872	enh
CEP85	chr1:27692571-27692872	enh
FAM46B	chr1:27692571-27692872	enh
HMGN2	chr1:27692571-27692872	enh
SH3BGRL3	chr1:27815114-27815415	enh
SMPDL3B	chr1:27815114-27815415	enh
TRNP1	chr1:27815114-27815415	enh
ZNF593	chr1:27815114-27815415	enh
LIN28A	chr1:27815114-27815415	enh
RPA2	chr1:27815114-27815415	enh
ARID1A	chr1:27815114-27815415	enh
CEP85	chr1:27815114-27815415	enh
FAM46B	chr1:27815114-27815415	enh
HMGN2	chr1:27815114-27815415	enh
SH3BGRL3	chr1:27817013-27817314	enh
SMPDL3B	chr1:27817013-27817314	enh
TRNP1	chr1:27817013-27817314	enh
ZNF593	chr1:27817013-27817314	enh
LIN28A	chr1:27817013-27817314	enh
RPA2	chr1:27817013-27817314	enh
ARID1A	chr1:27817013-27817314	enh
CEP85	chr1:27817013-27817314	enh
FAM46B	chr1:27817013-27817314	enh
HMGN2	chr1:27817013-27817314	enh
SH3BGRL3	chr1:27853789-27854090	enh
SMPDL3B	chr1:27853789-27854090	enh
TRNP1	chr1:27853789-27854090	enh
ZNF593	chr1:27853789-27854090	enh
LIN28A	chr1:27853789-27854090	enh
RPA2	chr1:27853789-27854090	enh
ARID1A	chr1:27853789-27854090	enh
CEP85	chr1:27853789-27854090	enh
FAM46B	chr1:27853789-27854090	enh
HMGN2	chr1:27853789-27854090	enh
SH3BGRL3	chr1:27884430-27884731	enh
SMPDL3B	chr1:27884430-27884731	enh
TRNP1	chr1:27884430-27884731	enh
ZNF593	chr1:27884430-27884731	enh
LIN28A	chr1:27884430-27884731	enh
RPA2	chr1:27884430-27884731	enh
ARID1A	chr1:27884430-27884731	enh
CEP85	chr1:27884430-27884731	enh
FAM46B	chr1:27884430-27884731	enh
HMGN2	chr1:27884430-27884731	enh
SH3BGRL3	chr1:27895040-27895341	enh
SMPDL3B	chr1:27895040-27895341	enh
TRNP1	chr1:27895040-27895341	enh
ZNF593	chr1:27895040-27895341	enh
LIN28A	chr1:27895040-27895341	enh
RPA2	chr1:27895040-27895341	enh
ARID1A	chr1:27895040-27895341	enh
CEP85	chr1:27895040-27895341	enh
FAM46B	chr1:27895040-27895341	enh
HMGN2	chr1:27895040-27895341	enh
SH3BGRL3	chr1:27919155-27919456	enh
SMPDL3B	chr1:27919155-27919456	enh
TRNP1	chr1:27919155-27919456	enh
ZNF593	chr1:27919155-27919456	enh
LIN28A	chr1:27919155-27919456	enh
RPA2	chr1:27919155-27919456	enh
ARID1A	chr1:27919155-27919456	enh
CEP85	chr1:27919155-27919456	enh
FAM46B	chr1:27919155-27919456	enh
HMGN2	chr1:27919155-27919456	enh
SH3BGRL3	chr1:27919554-27919855	enh
SMPDL3B	chr1:27919554-27919855	enh
TRNP1	chr1:27919554-27919855	enh
ZNF593	chr1:27919554-27919855	enh
LIN28A	chr1:27919554-27919855	enh
RPA2	chr1:27919554-27919855	enh
ARID1A	chr1:27919554-27919855	enh
CEP85	chr1:27919554-27919855	enh
FAM46B	chr1:27919554-27919855	enh
HMGN2	chr1:27919554-27919855	enh
SH3BGRL3	chr1:27924831-27925132	enh
SMPDL3B	chr1:27924831-27925132	enh
TRNP1	chr1:27924831-27925132	enh
ZNF593	chr1:27924831-27925132	enh
LIN28A	chr1:27924831-27925132	enh
RPA2	chr1:27924831-27925132	enh
ARID1A	chr1:27924831-27925132	enh
CEP85	chr1:27924831-27925132	enh
FAM46B	chr1:27924831-27925132	enh
HMGN2	chr1:27924831-27925132	enh
SH3BGRL3	chr1:27930540-27930841	enh
SMPDL3B	chr1:27930540-27930841	enh
TRNP1	chr1:27930540-27930841	enh
ZNF593	chr1:27930540-27930841	enh
LIN28A	chr1:27930540-27930841	enh
RPA2	chr1:27930540-27930841	enh
ARID1A	chr1:27930540-27930841	enh
CEP85	chr1:27930540-27930841	enh
FAM46B	chr1:27930540-27930841	enh
HMGN2	chr1:27930540-27930841	enh
SH3BGRL3	chr1:27935150-27935451	enh
SMPDL3B	chr1:27935150-27935451	enh
TRNP1	chr1:27935150-27935451	enh
ZNF593	chr1:27935150-27935451	enh
LIN28A	chr1:27935150-27935451	enh
RPA2	chr1:27935150-27935451	enh
ARID1A	chr1:27935150-27935451	enh
CEP85	chr1:27935150-27935451	enh
FAM46B	chr1:27935150-27935451	enh
HMGN2	chr1:27935150-27935451	enh
SH3BGRL3	chr1:27941326-27941627	enh
SMPDL3B	chr1:27941326-27941627	enh
TRNP1	chr1:27941326-27941627	enh
ZNF593	chr1:27941326-27941627	enh
LIN28A	chr1:27941326-27941627	enh
RPA2	chr1:27941326-27941627	enh
ARID1A	chr1:27941326-27941627	enh
CEP85	chr1:27941326-27941627	enh
FAM46B	chr1:27941326-27941627	enh
HMGN2	chr1:27941326-27941627	enh
SH3BGRL3	chr1:27941887-27942188	enh
SMPDL3B	chr1:27941887-27942188	enh
TRNP1	chr1:27941887-27942188	enh
ZNF593	chr1:27941887-27942188	enh
LIN28A	chr1:27941887-27942188	enh
RPA2	chr1:27941887-27942188	enh
ARID1A	chr1:27941887-27942188	enh
CEP85	chr1:27941887-27942188	enh
FAM46B	chr1:27941887-27942188	enh
HMGN2	chr1:27941887-27942188	enh
SH3BGRL3	chr1:27982662-27982963	enh
SMPDL3B	chr1:27982662-27982963	enh
TRNP1	chr1:27982662-27982963	enh
ZNF593	chr1:27982662-27982963	enh
LIN28A	chr1:27982662-27982963	enh
RPA2	chr1:27982662-27982963	enh
ARID1A	chr1:27982662-27982963	enh
CEP85	chr1:27982662-27982963	enh
FAM46B	chr1:27982662-27982963	enh
HMGN2	chr1:27982662-27982963	enh
SH3BGRL3	chr1:28266868-28267169	enh
SMPDL3B	chr1:28266868-28267169	enh
TRNP1	chr1:28266868-28267169	enh
LIN28A	chr1:28266868-28267169	enh
RPA2	chr1:28266868-28267169	enh
ARID1A	chr1:28266868-28267169	enh
FAM46B	chr1:28266868-28267169	enh
HMGN2	chr1:28266868-28267169	enh
SMPDL3B	chr1:28288404-28288705	enh
TRNP1	chr1:28288404-28288705	enh
LIN28A	chr1:28288404-28288705	enh
RPA2	chr1:28288404-28288705	enh
ARID1A	chr1:28288404-28288705	enh
FAM46B	chr1:28288404-28288705	enh
HMGN2	chr1:28288404-28288705	enh
SMPDL3B	chr1:28417747-28418048	enh
TRNP1	chr1:28417747-28418048	enh
RPA2	chr1:28417747-28418048	enh
ARID1A	chr1:28417747-28418048	enh
FAM46B	chr1:28417747-28418048	enh
HMGN2	chr1:28417747-28418048	enh
SMPDL3B	chr1:28473828-28474129	enh
TRNP1	chr1:28473828-28474129	enh
RPA2	chr1:28473828-28474129	enh
ARID1A	chr1:28473828-28474129	enh
FAM46B	chr1:28473828-28474129	enh
PEX10	chr1:2986674-2986975	enh
RER1	chr1:2986674-2986975	enh
PEX10	chr1:2987618-2987919	enh
RER1	chr1:2987618-2987919	enh
PEX10	chr1:3138555-3138856	enh
RER1	chr1:3138555-3138856	enh
PEX10	chr1:3308331-3308632	enh
RER1	chr1:3308331-3308632	enh
PEX10	chr1:3369705-3370006	enh
RER1	chr1:3369705-3370006	enh
PEX10	chr1:3381784-3382085	enh
RER1	chr1:3381784-3382085	enh
PEX10	chr1:3382615-3382916	enh
RER1	chr1:3382615-3382916	enh
PEX10	chr1:3384115-3384416	enh
RER1	chr1:3384115-3384416	enh
PEX10	chr1:3385015-3385316	enh
RER1	chr1:3385015-3385316	enh
PEX10	chr1:3450059-3450360	enh
RER1	chr1:3450059-3450360	enh
PEX10	chr1:3527152-3527453	enh
RER1	chr1:3527152-3527453	enh
PEX10	chr1:3535611-3535912	enh
RER1	chr1:3535611-3535912	enh
PEX10	chr1:3549354-3549655	enh
RER1	chr1:3549354-3549655	enh
PEX10	chr1:3550466-3550767	enh
RER1	chr1:3550466-3550767	enh
PEX10	chr1:3561824-3562125	enh
RER1	chr1:3561824-3562125	enh
PEX10	chr1:3568018-3568319	enh
RER1	chr1:3568018-3568319	enh
PEX10	chr1:3573145-3573446	enh
RER1	chr1:3573145-3573446	enh
PEX10	chr1:3574114-3574415	enh
RER1	chr1:3574114-3574415	enh
PEX10	chr1:3579574-3579875	enh
RER1	chr1:3579574-3579875	enh
PEX10	chr1:3583869-3584170	enh
RER1	chr1:3583869-3584170	enh
PEX10	chr1:3591385-3591686	enh
RER1	chr1:3591385-3591686	enh
PEX10	chr1:3634607-3634908	enh
RER1	chr1:3634607-3634908	enh
PEX10	chr1:3636649-3636950	enh
RER1	chr1:3636649-3636950	enh
PEX10	chr1:3816148-3816449	enh
RER1	chr1:3816148-3816449	enh
PEX10	chr1:3817808-3818109	enh
RER1	chr1:3817808-3818109	enh
ZNF326	PKN2_TSS	TSS
LRRC8B	PKN2_TSS	TSS
LRRC8D	PKN2_TSS	TSS
PKN2	PKN2_TSS	TSS
RBMXL1	PKN2_TSS	TSS
KYAT3	PKN2_TSS	TSS
ZNF326	chr1:89202361-89202662	enh
LRRC8B	chr1:89202361-89202662	enh
LRRC8D	chr1:89202361-89202662	enh
PKN2	chr1:89202361-89202662	enh
RBMXL1	chr1:89202361-89202662	enh
KYAT3	chr1:89202361-89202662	enh
ZNF326	chr1:89240021-89240322	enh
LRRC8B	chr1:89240021-89240322	enh
LRRC8D	chr1:89240021-89240322	enh
PKN2	chr1:89240021-89240322	enh
RBMXL1	chr1:89240021-89240322	enh
KYAT3	chr1:89240021-89240322	enh
ZNF326	chr1:89356501-89356802	enh
LRRC8B	chr1:89356501-89356802	enh
LRRC8D	chr1:89356501-89356802	enh
PKN2	chr1:89356501-89356802	enh
RBMXL1	chr1:89356501-89356802	enh
KYAT3	chr1:89356501-89356802	enh
ZNF326	chr1:89387967-89388268	enh
LRRC8B	chr1:89387967-89388268	enh
LRRC8D	chr1:89387967-89388268	enh
PKN2	chr1:89387967-89388268	enh
RBMXL1	chr1:89387967-89388268	enh
KYAT3	chr1:89387967-89388268	enh
ZNF326	RBMXL1_TSS	TSS
LRRC8B	RBMXL1_TSS	TSS
LRRC8D	RBMXL1_TSS	TSS
PKN2	RBMXL1_TSS	TSS
RBMXL1	RBMXL1_TSS	TSS
KYAT3	RBMXL1_TSS	TSS
ZNF326	chr1:89551517-89551818	enh
LRRC8B	chr1:89551517-89551818	enh
LRRC8D	chr1:89551517-89551818	enh
PKN2	chr1:89551517-89551818	enh
RBMXL1	chr1:89551517-89551818	enh
KYAT3	chr1:89551517-89551818	enh
ZNF326	chr1:89566081-89566382	enh
LRRC8B	chr1:89566081-89566382	enh
LRRC8D	chr1:89566081-89566382	enh
PKN2	chr1:89566081-89566382	enh
RBMXL1	chr1:89566081-89566382	enh
KYAT3	chr1:89566081-89566382	enh
ZNF326	chr1:89570397-89570698	enh
LRRC8B	chr1:89570397-89570698	enh
LRRC8D	chr1:89570397-89570698	enh
PKN2	chr1:89570397-89570698	enh
RBMXL1	chr1:89570397-89570698	enh
KYAT3	chr1:89570397-89570698	enh
ZNF326	chr1:89615002-89615303	enh
LRRC8B	chr1:89615002-89615303	enh
LRRC8D	chr1:89615002-89615303	enh
PKN2	chr1:89615002-89615303	enh
RBMXL1	chr1:89615002-89615303	enh
KYAT3	chr1:89615002-89615303	enh
ZNF326	chr1:89655709-89656010	enh
LRRC8B	chr1:89655709-89656010	enh
LRRC8D	chr1:89655709-89656010	enh
PKN2	chr1:89655709-89656010	enh
RBMXL1	chr1:89655709-89656010	enh
KYAT3	chr1:89655709-89656010	enh
ZNF326	chr1:89827303-89827604	enh
LRRC8B	chr1:89827303-89827604	enh
LRRC8D	chr1:89827303-89827604	enh
PKN2	chr1:89827303-89827604	enh
RBMXL1	chr1:89827303-89827604	enh
KYAT3	chr1:89827303-89827604	enh
ZNF326	chr1:89922660-89922961	enh
LRRC8B	chr1:89922660-89922961	enh
LRRC8D	chr1:89922660-89922961	enh
PKN2	chr1:89922660-89922961	enh
RBMXL1	chr1:89922660-89922961	enh
KYAT3	chr1:89922660-89922961	enh
ZNF326	chr1:89948851-89949152	enh
LRRC8B	chr1:89948851-89949152	enh
LRRC8D	chr1:89948851-89949152	enh
PKN2	chr1:89948851-89949152	enh
RBMXL1	chr1:89948851-89949152	enh
KYAT3	chr1:89948851-89949152	enh
ZNF326	chr1:89989489-89989790	enh
LRRC8B	chr1:89989489-89989790	enh
LRRC8D	chr1:89989489-89989790	enh
PKN2	chr1:89989489-89989790	enh
RBMXL1	chr1:89989489-89989790	enh
KYAT3	chr1:89989489-89989790	enh
ZNF326	chr1:90016561-90016862	enh
LRRC8B	chr1:90016561-90016862	enh
LRRC8D	chr1:90016561-90016862	enh
PKN2	chr1:90016561-90016862	enh
RBMXL1	chr1:90016561-90016862	enh
KYAT3	chr1:90016561-90016862	enh
ZNF326	chr1:90097778-90098079	enh
LRRC8B	chr1:90097778-90098079	enh
LRRC8D	chr1:90097778-90098079	enh
PKN2	chr1:90097778-90098079	enh
RBMXL1	chr1:90097778-90098079	enh
